split	fold	model	query_id	n_candidates	n_positives	best_positive_rank	H1	H10	H50	MRR	Recall_at_1pct
Random-edge	0	T_P	C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)[O-]	6456	1	15	0.0	0.0	1.0	0.0666666666666666	1.0
Random-edge	0	T_L	C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)[O-]	6456	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	Dstar	C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)[O-]	6456	1	34	0.0	0.0	1.0	0.0294117647058823	1.0
Random-edge	0	B	C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)[O-]	6456	1	37	0.0	0.0	1.0	0.027027027027027	1.0
Random-edge	0	F	C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)[O-]	6456	1	15	0.0	0.0	1.0	0.0666666666666666	1.0
Random-edge	0	T_P	C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O	6455	1	32	0.0	0.0	1.0	0.03125	1.0
Random-edge	0	T_L	C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O	6455	1	19	0.0	0.0	1.0	0.0526315789473684	1.0
Random-edge	0	Dstar	C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O	6455	1	1322	0.0	0.0	0.0	0.0007564296520423	0.0
Random-edge	0	B	C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O	6455	1	60	0.0	0.0	0.0	0.0166666666666666	1.0
Random-edge	0	F	C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O	6455	1	57	0.0	0.0	0.0	0.0175438596491228	1.0
Random-edge	0	T_P	C1(C(C(OC(C1O)O)C(=O)O)O)O	6457	1	61	0.0	0.0	0.0	0.0163934426229508	1.0
Random-edge	0	T_L	C1(C(C(OC(C1O)O)C(=O)O)O)O	6457	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	Dstar	C1(C(C(OC(C1O)O)C(=O)O)O)O	6457	1	5030	0.0	0.0	0.0	0.0001988071570576	0.0
Random-edge	0	B	C1(C(C(OC(C1O)O)C(=O)O)O)O	6457	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	F	C1(C(C(OC(C1O)O)C(=O)O)O)O	6457	1	2	0.0	1.0	1.0	0.5	1.0
Random-edge	0	T_P	C1=C(NC=N1)C[C@@H](C(=O)O)N	6456	1	1157	0.0	0.0	0.0	0.0008643042350907	0.0
Random-edge	0	T_L	C1=C(NC=N1)C[C@@H](C(=O)O)N	6456	1	1483	0.0	0.0	0.0	0.0006743088334457	0.0
Random-edge	0	Dstar	C1=C(NC=N1)C[C@@H](C(=O)O)N	6456	1	244	0.0	0.0	0.0	0.0040983606557377	0.0
